<b>Standard familiar</b><br />
<div class="spoiler"><div align="left" class="spoiler-title"><b>Spoiler</b></div><div align="right" class="spoiler-select"  name="spoiler-select">
<span onClick="spoiler(this)" /><span class="spoiler-button">Show</span></span>
</div>
<div class="spoiler-body" name="spoiler-body"><br />
{table=head]<b>Familiar</b>	|	<b>Stat</b>	|	<b>Reference</b>	|	<b>Requirement</b>	|	<b>Granted bonus</b>	|	<b>Note</b><br />
Bat	|<div style="text-align: center;">	MMI p268	</div>|<div style="text-align: center;">	PHB p52	</div>||<div style="text-align: center;">	Masters gains a +3 on Listen checks	</div>||<br />
Cat	|<div style="text-align: center;">	MMI p270	</div>|<div style="text-align: center;">	PHB p52	</div>||<div style="text-align: center;">	Masters gains a +3 on Move silently checks	</div>||<br />
Hawk	|<div style="text-align: center;">	MMI p273	</div>|<div style="text-align: center;">	PHB p52	</div>||<div style="text-align: center;">	Masters gains a +3 on Spot checks in bright light	</div>||<br />
Lizard	|<div style="text-align: center;">	MMI p275	</div>|<div style="text-align: center;">	PHB p52	</div>||<div style="text-align: center;">	Masters gains a +3 on Climb checks	</div>||<br />
Owl	|<div style="text-align: center;">	MMI p277	</div>|<div style="text-align: center;">	PHB p52	</div>||<div style="text-align: center;">	Masters gains a +3 on Spot checks in shadow	</div>||<br />
Rat	|<div style="text-align: center;">	MMI p278	</div>|<div style="text-align: center;">	PHB p52	</div>||<div style="text-align: center;">	Masters gains a +2 on Fortitude saves	</div>||<br />
Raven	|<div style="text-align: center;">	MMI p278	</div>|<div style="text-align: center;">	PHB p52	</div>||<div style="text-align: center;">	Masters gains a +3 on Appraise checks	</div>||<br />
Viper Snake (Tiny)	|<div style="text-align: center;">	MMI p279	</div>|<div style="text-align: center;">	PHB p52	</div>||<div style="text-align: center;">	Masters gains a +3 on Bluff checks	</div>||<br />
Toad	|<div style="text-align: center;">	MMI p282	</div>|<div style="text-align: center;">	PHB p52	</div>||<div style="text-align: center;">	Masters gains a +3 hit points	</div>||<br />
Weasel	|<div style="text-align: center;">	MMI p282	</div>|<div style="text-align: center;">	PHB p52	</div>||<div style="text-align: center;">	Masters gains a +2 on Reflex saves	</div>||<br />
Ferret	|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	Tiny or smaller size	</div>|<div style="text-align: center;">	Masters gains a +2 on Reflex saves	</div>||<br />
Hedgehog	|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	Tiny or smaller size	</div>|<div style="text-align: center;">	Masters gains a +1 natural armor bonus	</div>||<br />
Mouse	|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	Tiny or smaller size	</div>|<div style="text-align: center;">	Masters gains a +2 on Move silently checks	</div>||<br />
Screech Owl	|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	Tiny or smaller size	</div>|<div style="text-align: center;">	Masters gains a +2 on Move silently checks	</div>||<br />
Thrush	|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	Tiny or smaller size	</div>|||<br />
Dire Rat	|<div style="text-align: center;">	MMI p64	</div>|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	Huge or bigger size	</div>|<div style="text-align: center;">	Masters gains a +2 on Fortitude saves	</div>||<br />
Leopard	|<div style="text-align: center;">	MMI p274	</div>|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	Huge or bigger size	</div>|<div style="text-align: center;">	Masters gains a +2 on Move silently checks	</div>||<br />
Monitor Lizard	|<div style="text-align: center;">	MMI p275	</div>|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	Huge or bigger size	</div>|<div style="text-align: center;">	Masters gains a +3 hit points	</div>||<br />
Owl (Medium)	|<div style="text-align: center;">	DMG p204	</div>|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	Huge or bigger size	</div>|<div style="text-align: center;">	Masters gains a +2 on Move silently checks	</div>||<br />
Raven (Small)	|<div style="text-align: center;">	DMG p204	</div>|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	Huge or bigger size	</div>|||<br />
Viper snake (Medium)	|<div style="text-align: center;">	MMI p279	</div>|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	Huge or bigger size	</div>|||<br />
Wolverine	|<div style="text-align: center;">	MMI p283	</div>|<div style="text-align: center;">	DMG p203	</div>|<div style="text-align: center;">	Huge or bigger size	</div>|<div style="text-align: center;">	Masters gains a +2 on Reflex saves	</div>||<br />
Horned Lizard	|<div style="text-align: center;">	Sa p194	</div>|<div style="text-align: center;">	Sa p49	</div>||<div style="text-align: center;">	Masters gains a +2 on Will saves	</div>||<br />
Albatross	|<div style="text-align: center;">	Sto p165	</div>|<div style="text-align: center;">	Sto p51	</div>||<div style="text-align: center;">	Masters gains a +1 on Spot checks	</div>||<br />
Eel	|<div style="text-align: center;">	Sto p166	</div>|<div style="text-align: center;">	Sto p51	</div>||<div style="text-align: center;">	Masters gains a +3 on Escape artist checks	</div>||<br />
Fish Owl	|<div style="text-align: center;">	MMI p277	</div>|<div style="text-align: center;">	Sto p51	</div>||<div style="text-align: center;">	Masters gains a +3 on Spot checks in shadow	</div>||<br />
Octopus	|<div style="text-align: center;">	MMI p276	</div>|<div style="text-align: center;">	Sto p51	</div>||<div style="text-align: center;">	Masters gains a +3 on grapple checks	</div>||<br />
Parrot	|<div style="text-align: center;">	MMI p278	</div>|<div style="text-align: center;">	Sto p51	</div>||<div style="text-align: center;">	Masters gains a +3 on Appraise checks	</div>||<br />
Sea snake	|<div style="text-align: center;">	Sto p170	</div>|<div style="text-align: center;">	Sto p51	</div>||<div style="text-align: center;">	Masters gains a +3 on Bluff checks	</div>||<br />
Arctic Fox	|<div style="text-align: center;">	Fro p165	</div>|<div style="text-align: center;">	Fro p45	</div>||<div style="text-align: center;">	Masters gains a +3 on Move silently checks	</div>||<br />
Gyrfalcon	|<div style="text-align: center;">	MMI p273	</div>|<div style="text-align: center;">	Fro p45	</div>||<div style="text-align: center;">	Masters gains a +3 on Spot checks	</div>||<br />
Lemming	|<div style="text-align: center;">	MMI p278	</div>|<div style="text-align: center;">	Fro p45	</div>||<div style="text-align: center;">	Masters gains a +2 on Listen and Spot checks	</div>||<br />
Snowy owl	|<div style="text-align: center;">	MMI p277	</div>|<div style="text-align: center;">	Fro p45	</div>||<div style="text-align: center;">	Masters gains a +3 on Move silently checks	</div>||<br />
Penguin	|<div style="text-align: center;">	Fro p166	</div>|<div style="text-align: center;">	Fro p45	</div>||<div style="text-align: center;">	Masters gains a +2 on Fortitude saves	</div>||<br />
Puffin	|<div style="text-align: center;">	MMI p278	</div>|<div style="text-align: center;">	Fro p45	</div>||<div style="text-align: center;">	Masters gains a +3 on Survival checks	</div>||<br />
Huitzil	|<div style="text-align: center;">	DM p115	</div>|<div style="text-align: center;">	DM p116	</div>||<div style="text-align: center;">	Masters gains a +3 on Sleight of hand checks	</div>||<br />
Air elemental, Small	|<div style="text-align: center;">	MMI p95	</div>|<div style="text-align: center;">	RoW p162	</div>|<div style="text-align: center;">	Raptoran Sorcerer 1 ACF	</div>|||<br />
Dung Snake	|<div style="text-align: center;">	SK p83	</div>|<div style="text-align: center;">	SK p140	</div>|<div style="text-align: center;">	Yuan-ti	</div>|<div style="text-align: center;">	Masters gains a +3 on Bluff checks	</div>||<br />
Reed Snake	|<div style="text-align: center;">	SK p84	</div>|<div style="text-align: center;">	SK p140	</div>|<div style="text-align: center;">	Yuan-ti	</div>|<div style="text-align: center;">	Masters gains a +3 on Bluff checks	</div>||<br />
