,Name,Reference,Pantheon,Align,Rank,Nicknames / Portfolio,Domains,Weapon,Symbol
0,Aegir ,(D&D p170),Asgard,NE,I,"“God of the Oceans”
Sea, Storms","Death, Destruction, Evil, Strength, Water",Greatclub,Rough Ocean Waves
1,Balder ,(D&D p171),Asgard,NG,I,"“God of Beauty”
Beauty, Light, Music, Poetry, Rebirth","Good, Healing, Knowledge",Greatsword,Gem-Encrusted Silver Chalice
2,Forseti ,(D&D p173),Asgard,N,I,"“God of Justice, Peacemaker”
Justice, Law","Knowledge, Protection, Strength",Longsword,Head of a Bearded Man
3,Frey ,(D&D p174),Asgard,NG,G,"“God of Sunlight and the Elves”
Agriculture, Fertility, Harvest, Sun","Air, Good, Plant, Sun",Greatsword,Ice-Blue Greatsword
4,Freya ,(D&D p176),Asgard,NG,I,"“Goddess of Love and Fertility”
Fertility, Love, Magic, Vanity","Air, Charm, Good, Magic",Longsword,Falcon
5,Frigga ,(D&D p177),Asgard,N,G,"“Goddess of the Atmosphere”, “Queen of the Gods”
Birth, Fertility, Love","Air, Animal, Community, Knowledge",Natural Weapon,Large Cat
6,Heimdall ,(D&D p179),Asgard,LG,I,"“The Bright God”, “Guardian of Bifrost”
Watchfulness, Sight, Hearing, Loyalty","Good, Law, War",Longsword,Gjallahorn
7,Hel ,(D&D p180),Asgard,NE,I,"“Goddess of Death and the Underworld”
Death, Underworld","Death, Destruction, Evil",Longsword,Her Face
8,Hermod ,(D&D p182),Asgard,CN,D,"“Messenger of the Gods”
Luck, Communication, Freedom","Chaos Luck, Travel",Rapier,Winged Scroll
9,Loki ,(D&D p183),Asgard,CE,G,"“God of Mischief, Strike, and Fire”
Thieves, Trickery, Murder","Chaos, Destruction, Evil, Trickery",Dagger,Flame
10,Njord ,(D&D p184),Asgard,NG,I,"“God of the Sea and Winds”
Commerce, sea, Wind","Air, Good, Water",Longspear,Gold Coin
